10K:1
10U:6
12MHZ:1
2.7K:1
22PF:2
2A:1
330R:2
470U:1
5.1K:2
56K:2
ACT:1
FE1.1S:1
G***:7
H1:1
H2:1
H3:1
H4:1
PORT1:1
PORT2:1
PORT3:1
PORT4:1
R1:1
SRVO5:5
USBA:3
USBC:2
